date,con_closing,act_closing,con_settlement,act_settlement,turnover,transaction,inventory,act_invent,con_invent
2019-10-18 00:00:00,448.5,447.3,444.8,444.9,179370.0,7977371.44,59796.0,38636.0,14028.0
2019-10-21 00:00:00,441.4,446.1,444.5,446.3,173234.0,7724085.2,57450.0,42046.0,7936.0
2019-10-22 00:00:00,434.0,442.3,432.0,442.4,143662.0,6352813.44,55616.0,40604.0,7238.0
2019-10-23 00:00:00,438.2,443.6,438.8,444.7,172412.0,7665830.12,57222.0,41860.0,7132.0
2019-10-24 00:00:00,443.8,448.4,441.9,445.6,194694.0,8673944.18,56698.0,41548.0,6962.0
2019-10-25 00:00:00,446.9,451.7,446.0,452.6,157388.0,7120467.74,50230.0,35690.0,6368.0
2019-10-28 00:00:00,449.0,456.3,446.9,453.9,155962.0,7074246.36,49744.0,36304.0,4378.0
2019-10-29 00:00:00,447.5,454.9,484.8,456.4,147260.0,6723133.82,46216.0,32784.0,2722.0
2019-10-30 00:00:00,445.4,452.6,447.2,454.2,146766.0,6659206.7,46794.0,31892.0,852.0
2019-10-31 00:00:00,479.0,449.3,445.9,452.2,182808.0,8259744.54,48574.0,31168.0,606.0
2019-11-01 00:00:00,443.6,443.6,444.4,444.4,144106.0,6400488.52,49856.0,30498.0,30498.0
2019-11-04 00:00:00,450.2,450.2,449.1,449.1,156684.0,7032730.28,48260.0,28114.0,28114.0
2019-11-05 00:00:00,458.7,458.7,458.0,458.0,169902.0,7772143.74,50316.0,28532.0,28532.0
2019-11-06 00:00:00,458.0,458.0,459.6,459.6,129478.0,5946479.02,51378.0,28862.0,28862.0
2019-11-07 00:00:00,453.8,453.8,458.0,458.0,207428.0,9491834.42,53972.0,28510.0,28510.0
2019-11-08 00:00:00,451.6,451.6,456.1,456.1,172874.0,7880770.56,53476.0,27502.0,27502.0
2019-11-11 00:00:00,452.3,452.3,452.1,452.1,196566.0,8883343.92,51700.0,25400.0,25400.0
2019-11-12 00:00:00,457.2,457.2,455.6,455.6,171044.0,7790420.94,54538.0,26598.0,26598.0
2019-11-13 00:00:00,450.1,450.1,454.5,454.5,188844.0,8581736.2,56584.0,26372.0,26372.0
2019-11-14 00:00:00,455.6,455.6,452.8,452.8,187664.0,8500874.88,56472.0,24630.0,24630.0
2019-11-15 00:00:00,449.6,450.6,454.4,454.8,173558.0,7887612.44,55098.0,27950.0,22050.0
2019-11-18 00:00:00,455.4,455.8,452.4,452.4,200410.0,9066530.98,52508.0,29184.0,18196.0
2019-11-19 00:00:00,453.4,453.1,453.6,452.7,162074.0,7340639.34,48126.0,31192.0,11256.0
2019-11-20 00:00:00,446.4,443.3,451.5,447.6,170836.0,7645137.72,53270.0,35698.0,10982.0
2019-11-21 00:00:00,449.5,452.4,454.8,449.1,185218.0,8316764.86,48558.0,31362.0,10836.0
2019-11-22 00:00:00,453.8,458.9,449.9,456.7,177404.0,8099408.74,50208.0,34364.0,9486.0
2019-11-25 00:00:00,458.5,463.3,453.8,461.2,189710.0,8747448.02,49232.0,34596.0,7584.0
2019-11-26 00:00:00,456.0,460.2,456.4,461.2,174384.0,8039942.1,48332.0,32208.0,7524.0
